2020-06-27 04:20:31.7712 | TRACE | DAL.EF.EFRepositories.Repositories.BaseRepository | READING operation ended at 27.06.2020 4:20:31;
2020-06-27 04:31:40.4357 | TRACE | DAL.EF.EFRepositories.Repositories.BaseRepository | READING operation ended at 27.06.2020 4:31:40;
2020-06-27 05:03:04.0544 | TRACE | DAL.EF.EFRepositories.Repositories.BaseRepository | READING operation ended at 27.06.2020 5:03:04;
2020-06-27 05:03:50.2550 | TRACE | DAL.EF.EFRepositories.Repositories.BaseRepository | READING operation ended at 27.06.2020 5:03:50;
2020-06-27 05:06:11.6365 | TRACE | DAL.EF.EFRepositories.Repositories.BaseRepository | READING operation ended at 27.06.2020 5:06:11;
2020-06-27 05:06:58.1441 | TRACE | DAL.EF.EFRepositories.Repositories.BaseRepository | READING operation ended at 27.06.2020 5:06:58;
2020-06-27 05:07:32.5718 | TRACE | DAL.EF.EFRepositories.Repositories.BaseRepository | READING operation ended at 27.06.2020 5:07:32;
2020-06-27 05:07:56.9539 | TRACE | DAL.EF.EFRepositories.Repositories.BaseRepository | READING operation ended at 27.06.2020 5:07:56;
2020-06-27 05:12:51.1101 | TRACE | DAL.EF.EFRepositories.Repositories.BaseRepository | READING operation ended at 27.06.2020 5:12:51;
2020-06-27 05:13:54.7157 | TRACE | DAL.EF.EFRepositories.Repositories.BaseRepository | READING operation ended at 27.06.2020 5:13:54;
2020-06-27 05:15:49.9434 | TRACE | DAL.EF.EFRepositories.Repositories.BaseRepository | READING operation ended at 27.06.2020 5:15:49;
2020-06-27 05:19:48.2485 | TRACE | DAL.EF.EFRepositories.Repositories.BaseRepository | READING operation ended at 27.06.2020 5:19:48;
2020-06-27 10:42:36.7935 | TRACE | DAL.EF.EFRepositories.Repositories.BaseRepository | The connection string 'ConnectionString' in the application's configuration file does not contain the required providerName attribute.".Error encountered during READING operation. - 27.06.2020 10:42:36
2020-06-27 10:42:36.8124 | TRACE | DAL.EF.EFRepositories.Repositories.BaseRepository | READING operation ended at 27.06.2020 10:42:36;
2020-06-27 10:59:31.4841 | TRACE | DAL.EF.EFRepositories.Repositories.BaseRepository | READING operation ended at 27.06.2020 10:59:31;
2020-06-27 11:00:44.5938 | TRACE | DAL.EF.EFRepositories.Repositories.BaseRepository | READING operation ended at 27.06.2020 11:00:44;
2020-06-27 11:02:08.7856 | TRACE | DAL.EF.EFRepositories.Repositories.BaseRepository | READING operation ended at 27.06.2020 11:02:08;
2020-06-27 11:04:45.5451 | TRACE | DAL.EF.EFRepositories.Repositories.BaseRepository | READING operation ended at 27.06.2020 11:04:45;
2020-06-27 11:13:11.4874 | TRACE | DAL.EF.EFRepositories.Repositories.BaseRepository | READING operation ended at 27.06.2020 11:13:11;
2020-06-27 11:19:18.1813 | TRACE | DAL.EF.EFRepositories.Repositories.BaseRepository | READING operation ended at 27.06.2020 11:19:18;
2020-06-27 11:19:45.7686 | TRACE | DAL.EF.EFRepositories.Repositories.BaseRepository | READING operation ended at 27.06.2020 11:19:45;
2020-06-27 11:26:48.4087 | TRACE | DAL.EF.EFRepositories.Repositories.BaseRepository | READING operation ended at 27.06.2020 11:26:48;
2020-06-27 11:27:53.6403 | TRACE | DAL.EF.EFRepositories.Repositories.BaseRepository | READING operation ended at 27.06.2020 11:27:53;
2020-06-27 11:28:05.3101 | TRACE | DAL.EF.EFRepositories.Repositories.BaseRepository | READING operation ended at 27.06.2020 11:28:05;
2020-06-27 11:28:21.7082 | TRACE | DAL.EF.EFRepositories.Repositories.BaseRepository | READING operation ended at 27.06.2020 11:28:21;
2020-06-27 11:31:11.9709 | TRACE | DAL.EF.EFRepositories.Repositories.BaseRepository | READING operation ended at 27.06.2020 11:31:11;
2020-06-27 11:44:32.0840 | TRACE | DAL.EF.EFRepositories.Repositories.BaseRepository | READING operation ended at 27.06.2020 11:44:32;
2020-06-27 11:48:44.3454 | TRACE | DAL.EF.EFRepositories.Repositories.BaseRepository | READING operation ended at 27.06.2020 11:48:44;
